H_over_B,B_over_H,H,B,q,R_int,gamma,Su,sf_lower,sf_upper,fs_optum_avg,fs_terzaghi_resistance,fs_terzaghi_net_pressure,Nc,fs_bjerrum
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,16.0,5.0,0.359,0.401,0.38,0.40736043456039805,0.333749453392349,6.31,0.3286458333333333
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,16.0,10.0,0.717,0.802,0.7595000000000001,0.8147208691207961,0.7621666205600042,6.31,0.6572916666666666
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,16.0,20.0,1.435,1.603,1.5190000000000001,1.6294417382415922,2.127914021482738,6.31,1.3145833333333332
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,16.0,40.0,2.869,3.207,3.0380000000000003,3.2588834764831844,20.453592030388865,6.31,2.6291666666666664
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,18.0,5.0,0.319,0.356,0.3375,0.36209816405368717,0.29262763701313677,6.31,0.29212962962962963
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,18.0,10.0,0.637,0.712,0.6745,0.7241963281073743,0.6567819329257175,6.31,0.5842592592592593
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,18.0,20.0,1.275,1.423,1.349,1.4483926562147487,1.7385047022826425,6.31,1.1685185185185185
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,18.0,40.0,2.55,2.846,2.698,2.8967853124294973,9.850009304046583,6.31,2.337037037037037
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,20.0,5.0,0.283,0.32,0.3015,0.3258883476483184,0.2605276044764479,6.31,0.26291666666666663
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,20.0,10.0,0.568,0.641,0.6045,0.6517766952966368,0.5770001860809316,6.31,0.5258333333333333
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,20.0,20.0,1.133,1.281,1.2069999999999999,1.3035533905932737,1.4695722526441257,6.31,1.0516666666666665
1.5,0.6666666666666666,6.0,4.0,0.0,1.0,20.0,40.0,2.266,2.563,2.4145000000000003,2.6071067811865474,6.487005768508881,6.31,2.103333333333333
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,16.0,5.0,0.328,0.363,0.34550000000000003,0.3689302048848888,0.2987628128698026,6.31,0.2976415094339622
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,16.0,10.0,0.656,0.726,0.6910000000000001,0.7378604097697776,0.6722744850573888,6.31,0.5952830188679245
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,16.0,20.0,1.311,1.451,1.381,1.4757208195395553,1.7931973699995745,6.31,1.190566037735849
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,16.0,40.0,2.622,2.902,2.762,2.9514416390791105,10.781576197538143,6.31,2.381132075471698
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,18.0,5.0,0.292,0.325,0.3085,0.3314118789643916,0.2653794409700068,6.31,0.2673728813559322
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,18.0,10.0,0.584,0.65,0.617,0.6628237579287832,0.5889233038317497,6.31,0.5347457627118644
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,18.0,20.0,1.167,1.301,1.234,1.3256475158575665,1.5084634100392598,6.31,1.0694915254237287
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,18.0,40.0,2.335,2.601,2.468,2.651295031715133,6.8784118877549,6.31,2.1389830508474574
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,20.0,5.0,0.265,0.297,0.281,0.3008200132138324,0.23870666561174975,6.31,0.24269230769230768
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,20.0,10.0,0.53,0.593,0.5615,0.6016400264276648,0.5239606441233432,6.31,0.48538461538461536
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,20.0,20.0,1.06,1.186,1.123,1.2032800528553296,1.3017622770407937,6.31,0.9707692307692307
1.5,0.6666666666666666,6.0,4.0,10.0,1.0,20.0,40.0,2.119,2.373,2.2460000000000004,2.406560105710659,5.050148611676695,6.31,1.9415384615384614
1.0,1.0,6.0,6.0,0.0,1.0,16.0,5.0,0.337,0.375,0.356,0.3705319563735987,0.3204806276061713,6.01,0.3130208333333333
1.0,1.0,6.0,6.0,0.0,1.0,16.0,10.0,0.675,0.75,0.7125,0.7410639127471974,0.6963289408332591,6.01,0.6260416666666666
1.0,1.0,6.0,6.0,0.0,1.0,16.0,20.0,1.35,1.501,1.4255,1.4821278254943948,1.6835084270687568,6.01,1.2520833333333332
1.0,1.0,6.0,6.0,0.0,1.0,16.0,40.0,2.699,3.002,2.8505,2.9642556509887896,5.782185453597512,6.01,2.5041666666666664
1.0,1.0,6.0,6.0,0.0,1.0,18.0,5.0,0.297,0.334,0.3155,0.3293617389987544,0.2823769099912318,6.01,0.27824074074074073
1.0,1.0,6.0,6.0,0.0,1.0,18.0,10.0,0.591,0.668,0.6295,0.6587234779975089,0.6073012674941263,6.01,0.5564814814814815
1.0,1.0,6.0,6.0,0.0,1.0,18.0,20.0,1.183,1.335,1.259,1.3174469559950177,1.4300816386423654,6.01,1.112962962962963
1.0,1.0,6.0,6.0,0.0,1.0,18.0,40.0,2.366,2.67,2.518,2.6348939119900354,4.433084556810329,6.01,2.225925925925926
1.0,1.0,6.0,6.0,0.0,1.0,20.0,5.0,0.265,0.3,0.2825,0.29642556509887896,0.25237111028837395,6.01,0.2504166666666666
1.0,1.0,6.0,6.0,0.0,1.0,20.0,10.0,0.529,0.599,0.5640000000000001,0.5928511301977579,0.5384578683487792,6.01,0.5008333333333332
1.0,1.0,6.0,6.0,0.0,1.0,20.0,20.0,1.058,1.199,1.1285,1.1857022603955159,1.242971097221372,6.01,1.0016666666666665
1.0,1.0,6.0,6.0,0.0,1.0,20.0,40.0,2.117,2.397,2.2569999999999997,2.3714045207910317,3.5944310436466633,6.01,2.003333333333333
1.0,1.0,6.0,6.0,10.0,1.0,16.0,5.0,0.305,0.34,0.3225,0.33557611143269317,0.28808559204703793,6.01,0.2834905660377358
1.0,1.0,6.0,6.0,10.0,1.0,16.0,10.0,0.609,0.681,0.645,0.6711522228653863,0.6205238972954571,6.01,0.5669811320754716
1.0,1.0,6.0,6.0,10.0,1.0,16.0,20.0,1.218,1.361,1.2894999999999999,1.3423044457307727,1.4668845268503887,6.01,1.1339622641509433
1.0,1.0,6.0,6.0,10.0,1.0,16.0,40.0,2.436,2.722,2.5789999999999997,2.6846088914615454,4.612447447591168,6.01,2.2679245283018865
1.0,1.0,6.0,6.0,10.0,1.0,18.0,5.0,0.272,0.305,0.2885,0.30144972721919894,0.2569212507307313,6.01,0.2546610169491525
1.0,1.0,6.0,6.0,10.0,1.0,18.0,10.0,0.543,0.61,0.5765,0.6028994544383979,0.5488269987286989,6.01,0.509322033898305
1.0,1.0,6.0,6.0,10.0,1.0,18.0,20.0,1.087,1.221,1.154,1.2057989088767957,1.270680198278776,6.01,1.01864406779661
1.0,1.0,6.0,6.0,10.0,1.0,18.0,40.0,2.173,2.442,2.3075,2.4115978177535915,3.711453533088645,6.01,2.03728813559322
1.0,1.0,6.0,6.0,10.0,1.0,20.0,5.0,0.248,0.277,0.2625,0.2736235985528114,0.23184127196665674,6.01,0.23115384615384613
1.0,1.0,6.0,6.0,10.0,1.0,20.0,10.0,0.496,0.554,0.525,0.5472471971056228,0.49198213955405173,6.01,0.46230769230769225
1.0,1.0,6.0,6.0,10.0,1.0,20.0,20.0,0.991,1.108,1.0495,1.0944943942112455,1.1207706162863762,6.01,0.9246153846153845
1.0,1.0,6.0,6.0,10.0,1.0,20.0,40.0,1.982,2.215,2.0985,2.188988788422491,3.1049363276527466,6.01,1.849230769230769
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,16.0,5.0,0.322,0.358,0.33999999999999997,0.352117717280199,0.3142341482093111,5.82625,0.30345052083333335
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,16.0,10.0,0.645,0.716,0.6805,0.704235434560398,0.667498906784698,5.82625,0.6069010416666667
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,16.0,20.0,1.273,1.431,1.3519999999999999,1.408470869120796,1.5243332411200083,5.82625,1.2138020833333334
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,16.0,40.0,2.578,2.862,2.7199999999999998,2.816941738241592,4.255828042965476,5.82625,2.427604166666667
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,18.0,5.0,0.283,0.319,0.301,0.31299352647128803,0.2775162224137527,5.82625,0.2697337962962963
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,18.0,10.0,0.566,0.638,0.602,0.6259870529425761,0.5852552740262735,5.82625,0.5394675925925926
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,18.0,20.0,1.132,1.273,1.2025,1.2519741058851521,1.313563865851435,5.82625,1.0789351851851852
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,18.0,40.0,2.263,2.551,2.407,2.5039482117703042,3.477009404565285,5.82625,2.1578703703703703
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,20.0,5.0,0.254,0.287,0.27049999999999996,0.28169417382415923,0.24848143157929112,5.82625,0.24276041666666667
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,20.0,10.0,0.509,0.573,0.5409999999999999,0.5633883476483185,0.5210552089528958,5.82625,0.48552083333333335
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,20.0,20.0,1.018,1.146,1.0819999999999999,1.126776695296637,1.1540003721618632,5.82625,0.9710416666666667
0.75,1.3333333333333333,6.0,8.0,0.0,1.0,20.0,40.0,2.036,2.293,2.1645000000000003,2.253553390593274,2.9391445052882514,5.82625,1.9420833333333334
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,16.0,5.0,0.29,0.325,0.3075,0.31889906470659535,0.28302814534232623,5.82625,0.2748231132075472
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,16.0,10.0,0.587,0.649,0.618,0.6377981294131907,0.5975256257396052,5.82625,0.5496462264150944
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,16.0,20.0,1.17,1.299,1.2345,1.2755962588263814,1.3445489701147777,5.82625,1.0992924528301888
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,16.0,40.0,2.336,2.597,2.4665,2.551192517652763,3.586394739999149,5.82625,2.1985849056603777
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,18.0,5.0,0.26,0.292,0.276,0.2864686513466026,0.25289116910440146,5.82625,0.246875
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,18.0,10.0,0.518,0.583,0.5505,0.5729373026932052,0.5307588819400136,5.82625,0.49375
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,18.0,20.0,1.04,1.166,1.103,1.1458746053864104,1.1778466076634995,5.82625,0.9875
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,18.0,40.0,2.08,2.333,2.2065,2.291749210772821,3.0169268200785195,5.82625,1.975
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,20.0,5.0,0.237,0.265,0.251,0.26002539122230084,0.22855456637028335,5.82625,0.22408653846153848
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,20.0,10.0,0.473,0.53,0.5015000000000001,0.5200507824446017,0.4774133312234995,5.82625,0.44817307692307695
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,20.0,20.0,0.946,1.059,1.0025,1.0401015648892034,1.0479212882466864,5.82625,0.8963461538461539
0.75,1.3333333333333333,6.0,8.0,10.0,1.0,20.0,40.0,1.892,2.118,2.005,2.0802031297784067,2.6035245540815874,5.82625,1.7926923076923078
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,16.0,5.0,0.31,0.347,0.3285,0.3410691738241592,0.31060178947411393,5.7052,0.2971458333333333
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,16.0,10.0,0.621,0.694,0.6575,0.6821383476483184,0.6513190111911197,5.7052,0.5942916666666666
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,16.0,20.0,1.241,1.388,1.3145,1.3642766952966368,1.442500465202329,5.7052,1.188583333333333
0.6,1.6666666666666667,6.0,10.0,0.0,1.0,16.0,40.0,2.477,2.776,2.6265,2.7285533905932735,3.6739306316103146,5.7052,2.377166666666666
